"file","table","id_field","id_column_guess"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\shop\Achat.java","Achat","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\gestat\Achatcaisse.java","Achatcaisse","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\gestat\Achatcarburant.java","Achatcarburant","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\lavage\AffectationFiltre.java","Affectationfiltre","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\lavage\AffectationHuile.java","Affectationhuile","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\paie\Annee.java","Annee","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\gestat\Articlecarburant.java","Articlecarburant","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\gestat\Avancegestat.java","Avancegestat","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\gestat\Avoir.java","Avoir","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\gestat\Avoirbancaire.java","Avoirbancaire","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\banque\Banque.java","Banque","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\transport\Bonlivraison.java","bonlivraison","numero","numero"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\gestat\Caisse.java","Caisse","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\gestat\Carteclient.java","carteclient","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\paie\Cat.java","Cat","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\paie\Categorie.java","Categorie","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\gestat\Certificat.java","Certificat","montants","montants"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\transport\Chauffeur.java","chauffeur","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\gestat\Cheque.java","Cheque","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\gestat\Chequereglement.java","Chequereglement","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\transport\Client.java","client","code","code"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\gestat\Clientgestat.java","Clientgestat","code","code"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\gestat\Clientpassation.java","Clientpassation","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\banque\Compte.java","Compte","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\gestat\Creditanterieur.java","Creditanterieur","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\gestat\Credit.java","Creditclient","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\gestat\Creditpassation.java","Creditpassation ","id","id"
