"table","id_field","id_column","status","data_type","pk","extra"
"Achat","id","id","ok","bigint","PRI","auto_increment"
"Achatcaisse","id","id","ok","bigint","PRI","auto_increment"
"Achatcarburant","id","id","ok","bigint","PRI","auto_increment"
"Affectationfiltre","id","id","ok","bigint","PRI","auto_increment"
"Affectationhuile","id","id","ok","bigint","PRI","auto_increment"
"Annee","id","id","ok","bigint","PRI","auto_increment"
"Articlecarburant","id","id","ok","bigint","PRI","auto_increment"
"Avancegestat","id","id","ok","bigint","PRI","auto_increment"
"Avoir","id","id","ok","bigint","PRI","auto_increment"
"Avoirbancaire","id","id","ok","bigint","PRI","auto_increment"
"Banque","id","id","ok","bigint","PRI","auto_increment"
"bonlivraison","numero","numero","ok","bigint","PRI","auto_increment"
"Caisse","id","id","ok","bigint","PRI","auto_increment"
"carteclient","id","id","ok","bigint","PRI","auto_increment"
"Cat","id","id","ok","bigint","PRI","auto_increment"
"Categorie","id","id","ok","bigint","PRI","auto_increment"
"Certificat","montants","","table_missing","","",""
"chauffeur","id","id","ok","bigint","PRI","auto_increment"
"Cheque","id","id","ok","bigint","PRI","auto_increment"
"Chequereglement","id","id","ok","bigint","PRI","auto_increment"
"client","code","code","ok","bigint","PRI","auto_increment"
"Clientgestat","code","code","ok","bigint","PRI","auto_increment"
"Clientpassation","id","id","ok","bigint","PRI","auto_increment"
"Compte","id","id","ok","bigint","PRI","auto_increment"
"Creditanterieur","id","id","ok","bigint","PRI","auto_increment"
"Creditclient","id","id","ok","bigint","PRI","auto_increment"
"Creditpassation ","id","id","ok","bigint","PRI","auto_increment"
"Degree","id","id","ok","bigint","PRI","auto_increment"
"depense","id","id","ok","bigint","PRI","auto_increment"
"DepenseCheque","id","","table_missing","","",""
"Depensegestat","id","id","ok","bigint","PRI","auto_increment"
"Employee","matricule","matricule","ok","bigint","PRI","auto_increment"
"Employeegestat","matricule","matricule","ok","int","PRI","auto_increment"
"Etatcheque","id","id","ok","bigint","PRI","auto_increment"
"facture","numero","numero","ok","bigint","PRI","auto_increment"
"Factureachat","id","id","ok","bigint","PRI","auto_increment"
"Factureachatcarburant","id","id","ok","bigint","PRI","auto_increment"
"facturepassager","numero","numero","ok","bigint","PRI","auto_increment"
"Famillearticle","code","code","ok","bigint","PRI","auto_increment"
"Familledepensegestat","id","id","ok","bigint","PRI","auto_increment"
"familledepensetransport","id","id","ok","bigint","PRI","auto_increment"
"Fournisseur","code","code","ok","bigint","PRI","auto_increment"
"Gestion","id","id","ok","bigint","PRI","auto_increment"
"Gestionrappel","id","id","ok","bigint","PRI","auto_increment"
"Historiquepayement","id","id","ok","bigint","PRI","auto_increment"
"Imageemployee","id","image","needs_auto_increment","text","",""
"Imagelavage","id","image","needs_auto_increment","text","",""
"Imagevetement","id","image","needs_auto_increment","text","",""
"Lignealimentation","id","id","ok","bigint","PRI","auto_increment"
"Lignealimentationcar","id","id","ok","bigint","PRI","auto_increment"
"lignecommande","id","id","ok","bigint","PRI","auto_increment"
"lignecommandepass","id","id","ok","bigint","PRI","auto_increment"
"Lignegestion","id","id","ok","bigint","PRI","auto_increment"
"Ligneimageemployee","id","id","ok","bigint","PRI","auto_increment"
"Ligneimagerendement","id","id","ok","bigint","PRI","auto_increment"
"Ligneindex","id","id","ok","bigint","PRI","auto_increment"
"lignepaiegestion","id","id","ok","bigint","PRI","auto_increment"
"Lignepaiegestionprime","id","id","ok","bigint","PRI","auto_increment"
"Lignepaiegestionrappel","id","id","ok","bigint","PRI","auto_increment"
"Lignetransert","id","id","ok","bigint","PRI","auto_increment"
"Lignevente","id","id","ok","bigint","PRI","auto_increment"
"Marque","id","id","ok","bigint","PRI","auto_increment"
"Model","id","id","ok","bigint","PRI","auto_increment"
"Note","id","id","ok","bigint","PRI","auto_increment"
"notif_smsing","idNotifmsing","id_notif_smsing","ok","bigint","PRI","auto_increment"
"Paie","id","id","ok","bigint","PRI","auto_increment"
"Paieconge","id","id","ok","bigint","PRI","auto_increment"
"Paieprime","id","id","ok","bigint","PRI","auto_increment"
"Paramettre","id","id","ok","bigint","PRI","auto_increment"
"Pointage","id","id","ok","bigint","PRI","auto_increment"
"Pointageconge","id","id","ok","bigint","PRI","auto_increment"
"Pompe","id","id","ok","bigint","PRI","auto_increment"
"Pompiste","id","id","ok","bigint","PRI","auto_increment"
"Pret","id","id","ok","int","PRI","auto_increment"
"Produit","id","id","ok","bigint","PRI","auto_increment"
"Rappel","id","id","ok","bigint","PRI","auto_increment"
"Rendement","id","id","ok","bigint","PRI","auto_increment"
"Retourcuve","id","id","ok","bigint","PRI","auto_increment"
"Role","id","id","ok","bigint","PRI","auto_increment"
"Societe","id","id","ok","bigint","PRI","auto_increment"
"Soldetpe","id","id","ok","bigint","PRI","auto_increment"
"Ticket","id","id","ok","bigint","PRI","auto_increment"
"Tracegestat","id","id","ok","bigint","PRI","auto_increment"
"Tracepaie","id","id","ok","bigint","PRI","auto_increment"
"Traceshop","id","id","ok","bigint","PRI","auto_increment"
"tracetransport","id","id","ok","bigint","PRI","auto_increment"
"Transaction","id","id","ok","bigint","PRI","auto_increment"
"Transactiondepense","id","id","ok","bigint","PRI","auto_increment"
"Transactionrecdit","id","id","ok","bigint","PRI","auto_increment"
"Transfert","id","id","ok","bigint","PRI","auto_increment"
"Tva","id","id","ok","bigint","PRI","auto_increment"
"Vente","id","id","ok","bigint","PRI","auto_increment"
"Vetement","id","id","ok","bigint","PRI","auto_increment"
"vhecule","id","id","ok","bigint","PRI","auto_increment"
